id,title,url,views,genre
57,4 7   Good Turing Smoothing,https://www.youtube.com/watch?v=fhvDgKBZa1U,0,Videos
58,4 8   Kneser Ney Smoothing,https://www.youtube.com/watch?v=eNLUo3AIvcQ,0,Videos
59,5 1   The Spelling Correction Task,https://www.youtube.com/watch?v=iYFqYL9RsRs,0,Videos
60,5 2   The Noisy Channel Model of Spelling,https://www.youtube.com/watch?v=q6BFerSaUEA,0,Videos
61,5 3   Real Word Spelling Correction,https://www.youtube.com/watch?v=bZNU2FwTXDc,0,Videos
62,5 4   State of the Art Systems,https://www.youtube.com/watch?v=aAvOOZRsby8,0,Videos
63,6 1   What is Text Classification,https://www.youtube.com/watch?v=kxImnFg4ZiQ,0,Videos
64,6 2   Naive Bayes,https://www.youtube.com/watch?v=j39c7Gjx2gE,0,Videos
65,6 3   Formalizing the Naive Bayes Classifier,https://www.youtube.com/watch?v=VNEdufXVMaU,0,Videos
66,6 4   Naive Bayes Learning,https://www.youtube.com/watch?v=3jR8TZG8T88,0,Videos
67,6 5   Naive Bayes Relationship to Language Modeling,https://www.youtube.com/watch?v=LRFdF9J__Tc,0,Videos
68,6 6   Multinomial Naive Bayes A Worked Example,https://www.youtube.com/watch?v=OWGVQfuvNMk,0,Videos
69,"6 7   Precision, Recall, and the F measure",https://www.youtube.com/watch?v=81j2nzzBHUw,0,Videos
70,6 8   Text Classification Evaluation,https://www.youtube.com/watch?v=TdkWIxGoiak,0,Videos
71,6 9   Practical Issues in Text Classification,https://www.youtube.com/watch?v=uIvSHmsLs-U,0,Videos
72,7 1   What is Sentiment Analysis,https://www.youtube.com/watch?v=vy0HC5H-484,0,Videos
73,7 2   Sentiment Analysis A baseline algorithm,https://www.youtube.com/watch?v=Dgqt62RQMaY,0,Videos
74,7 3   Sentiment Lexicons,https://www.youtube.com/watch?v=wBE0FE_2ddE,0,Videos
75,7 4   Learning Sentiment Lexicons,https://www.youtube.com/watch?v=Z7RxBcpyN1U,0,Videos
76,7 5   Other Sentiment Tasks,https://www.youtube.com/watch?v=3Eo--0_ocIk,0,Videos
77,8 1   Generative vs  Discriminative Models,https://www.youtube.com/watch?v=YQClUDd9ff4,0,Videos
78,8 2   Making features from text for discriminative NLP models,https://www.youtube.com/watch?v=MemiaOYSB0k,0,Videos
